qid,competition,timestamp,section,number,original_question,original_answer,original_additional_info,question,answers
AIO04-0001,第4回AI王,2023/09/01,開発用データ,1,1945年、ラテンアメリカの文学者として初めてノーベル文学賞を受賞した、チリの詩人は誰？,ガブリエラ・ミストラル,ミストラル,1945年、ラテンアメリカの文学者として初めてノーベル文学賞を受賞した、チリの詩人は誰?,"['ガブリエラ・ミストラル', 'ミストラル']"
AIO04-0002,第4回AI王,2023/09/01,開発用データ,2,和歌山県新宮市に名前を冠した公園が建てられている、古代中国で秦の始皇帝の命を受け、不老不死の薬を求めて日本に旅立った人物は誰？,徐福,,和歌山県新宮市に名前を冠した公園が建てられている、古代中国で秦の始皇帝の命を受け、不老不死の薬を求めて日本に旅立った人物は誰?,['徐福']
AIO04-0003,第4回AI王,2023/09/01,開発用データ,3,サンスクリット語で「南」という意味の言葉に由来する、インドの南側の大部分を占める高原は何？,デカン高原,,サンスクリット語で「南」という意味の言葉に由来する、インドの南側の大部分を占める高原は何?,['デカン高原']
AIO04-0004,第4回AI王,2023/09/01,開発用データ,4,ミシガン湖に面したアメリカ・イリノイ州の都市で、ニューヨーク、ロサンゼルスに次いで3番目に人口の多い都市はどこ？,シカゴ,,ミシガン湖に面したアメリカ・イリノイ州の都市で、ニューヨーク、ロサンゼルスに次いで3番目に人口の多い都市はどこ?,['シカゴ']
AIO04-0005,第4回AI王,2023/09/01,開発用データ,5,味がまずい魚のことを、猫でさえ見向きもしないということから俗に何という？,ねこまたぎ,"猫またぎ, 猫跨ぎ",味がまずい魚のことを、猫でさえ見向きもしないということから俗に何という?,"['ねこまたぎ', '猫またぎ', '猫跨ぎ']"
AIO04-0006,第4回AI王,2023/09/01,開発用データ,6,この岬を通る西経67度線より東を大西洋、西を太平洋と区分する、南アメリカ大陸最南端の岬はどこ？,ホーン岬,,この岬を通る西経67度線より東を大西洋、西を太平洋と区分する、南アメリカ大陸最南端の岬はどこ?,['ホーン岬']
AIO04-0007,第4回AI王,2023/09/01,開発用データ,7,映画『ゴーストバスターズ』のラストで、破壊神ゴーザが変身した怪物の名前は何？,マシュマロマン,,映画『ゴーストバスターズ』のラストで、破壊神ゴーザが変身した怪物の名前は何?,['マシュマロマン']
AIO04-0008,第4回AI王,2023/09/01,開発用データ,8,優れた才能を持ち、将来が期待される少年を、ある想像上の生き物にたとえて何という？,麒麟児,鳳児,優れた才能を持ち、将来が期待される少年を、ある想像上の生き物にたとえて何という?,"['麒麟児', '鳳児']"
AIO04-0009,第4回AI王,2023/09/01,開発用データ,9,SF作品などに登場する、ある世界から分岐し、それに並行して存在する別の世界を何という？,パラレルワールド,,SF作品などに登場する、ある世界から分岐し、それに並行して存在する別の世界を何という?,['パラレルワールド']
AIO04-0010,第4回AI王,2023/09/01,開発用データ,10,「物質に光をあてると、電子が放出されたり電流が流れたりする現象」のことで、1921年にアインシュタインがこの研究によりノーベル物理学賞を受賞した効果は何？,光電効果,,「物質に光をあてると、電子が放出されたり電流が流れたりする現象」のことで、1921年にアインシュタインがこの研究によりノーベル物理学賞を受賞した効果は何?,['光電効果']
AIO04-0011,第4回AI王,2023/09/01,開発用データ,11,ギリシャの哲学者ソクラテスが用いた、対話によって相手の無知・矛盾をつき、より高度な真理を導く方法を、彼の母親の職業から何という？,産婆術,,ギリシャの哲学者ソクラテスが用いた、対話によって相手の無知・矛盾をつき、より高度な真理を導く方法を、彼の母親の職業から何という?,['産婆術']
AIO04-0012,第4回AI王,2023/09/01,開発用データ,12,アメリカ独立100周年の1876年に州に昇格したことから「100年記念州」と呼ばれる、デンバーを州都とする州はどこ？,コロラド州,コロラド,アメリカ独立100周年の1876年に州に昇格したことから「100年記念州」と呼ばれる、デンバーを州都とする州はどこ?,"['コロラド州', 'コロラド']"
AIO04-0013,第4回AI王,2023/09/01,開発用データ,13,イスラム教で、イスラム暦の12番目の月に行われる、メッカへの巡礼のことを何という？,ハッジ,"ハジ, ハッジュ",イスラム教で、イスラム暦の12番目の月に行われる、メッカへの巡礼のことを何という?,"['ハッジ', 'ハジ', 'ハッジュ']"
AIO04-0014,第4回AI王,2023/09/01,開発用データ,14,『君恋し』『有楽町で逢いましょう』などのヒット曲で知られる、今は亡き歌手は誰？,フランク永井,,『君恋し』『有楽町で逢いましょう』などのヒット曲で知られる、今は亡き歌手は誰?,['フランク永井']
AIO04-0015,第4回AI王,2023/09/01,開発用データ,15,大阪府池田市にある逸翁美術館の「逸翁」とは誰のこと？,小林一三,,大阪府池田市にある逸翁美術館の「逸翁」とは誰のこと?,['小林一三']
AIO04-0016,第4回AI王,2023/09/01,開発用データ,16,神武景気と岩戸景気の間の、1957年～58年ごろの不況を、ある台所用品にたとえて何不況という？,なべ底不況,なべ底,神武景気と岩戸景気の間の、1957年〜58年ごろの不況を、ある台所用品にたとえて何不況という?,"['なべ底不況', 'なべ底']"
AIO04-0017,第4回AI王,2023/09/01,開発用データ,17,『黄金の羅針盤』『神秘の短剣』『琥珀の望遠鏡』の三部からなる、イギリスの作家フィリップ・プルマンのファンタジー小説は何？,ライラの冒険,,『黄金の羅針盤』『神秘の短剣』『琥珀の望遠鏡』の三部からなる、イギリスの作家フィリップ・プルマンのファンタジー小説は何?,['ライラの冒険']
AIO04-0018,第4回AI王,2023/09/01,開発用データ,18,斜方、単斜、ゴム状など多くの同素体を持つ、原子番号16の元素は何？,硫黄,,斜方、単斜、ゴム状など多くの同素体を持つ、原子番号16の元素は何?,['硫黄']
AIO04-0019,第4回AI王,2023/09/01,開発用データ,19,全国のタケノコの生産量の約4分の1を占める、ブランドにもなっている「合馬タケノコ」で知られる都道府県はどこ？,福岡県,福岡,全国のタケノコの生産量の約4分の1を占める、ブランドにもなっている「合馬タケノコ」で知られる都道府県はどこ?,"['福岡県', '福岡']"
AIO04-0020,第4回AI王,2023/09/01,開発用データ,20,アインシュタインの共同研究者として一般相対性理論や量子重力理論の理論研究を手がけたアメリカの物理学者で、ワームホールを命名したことでも知られるのは誰？,ジョン・ホイーラー,"ホイーラー, ジョン・アーチボルト・ホイーラー",アインシュタインの共同研究者として一般相対性理論や量子重力理論の理論研究を手がけたアメリカの物理学者で、ワームホールを命名したことでも知られるのは誰?,"['ジョン・ホイーラー', 'ホイーラー', 'ジョン・アーチボルト・ホイーラー']"
AIO04-0021,第4回AI王,2023/09/01,開発用データ,21,風と共に去りぬ、リンカーン、奴隷制度から連想される戦争は何？,南北戦争,,風と共に去りぬ、リンカーン、奴隷制度から連想される戦争は何?,['南北戦争']
AIO04-0022,第4回AI王,2023/09/01,開発用データ,22,DJのテクニックで、レコードを逆回転させたり、手でこすったりして効果音を出すことを何という？,スクラッチ,,DJのテクニックで、レコードを逆回転させたり、手でこすったりして効果音を出すことを何という?,['スクラッチ']
AIO04-0023,第4回AI王,2023/09/01,開発用データ,23,人間の膝から足首を結ぶ骨は、腓骨と何？,脛骨,,人間の膝から足首を結ぶ骨は、腓骨と何?,['脛骨']
AIO04-0024,第4回AI王,2023/09/01,開発用データ,24,セーシェルの首都・ヴィクトリアがある、同国でもっとも面積の大きい島は何？,マヘ島,,セーシェルの首都・ヴィクトリアがある、同国でもっとも面積の大きい島は何?,['マヘ島']
AIO04-0025,第4回AI王,2023/09/01,開発用データ,25,話を本筋に戻す時にいう、「それはさておき」という意味の四字熟語は何？,閑話休題,,話を本筋に戻す時にいう、「それはさておき」という意味の四字熟語は何?,['閑話休題']
AIO04-0026,第4回AI王,2023/09/01,開発用データ,26,春野サクラ、うちはサスケ、はたけカカシ、うずまきナルトなどの忍者たちが登場する、岸本斉史の漫画は何？,NARUTO,"ナルト, NARUTO -ナルト-",春野サクラ、うちはサスケ、はたけカカシ、うずまきナルトなどの忍者たちが登場する、岸本斉史の漫画は何?,"['NARUTO', 'ナルト', 'NARUTO -ナルト-']"
AIO04-0027,第4回AI王,2023/09/01,開発用データ,27,歌舞伎の演技、印刷用の印、整地用の道具から連想される昆虫は何？,トンボ,"とんぼ, 蜻蛉",歌舞伎の演技、印刷用の印、整地用の道具から連想される昆虫は何?,"['トンボ', 'とんぼ', '蜻蛉']"
AIO04-0028,第4回AI王,2023/09/01,開発用データ,28,アフリカや南アメリカにみられる、乾季と雨季の区別がはっきりとした、熱帯の草原を何という？,サバンナ,"サヴァンナ, サバナ, サヴァナ",アフリカや南アメリカにみられる、乾季と雨季の区別がはっきりとした、熱帯の草原を何という?,"['サバンナ', 'サヴァンナ', 'サバナ', 'サヴァナ']"
AIO04-0029,第4回AI王,2023/09/01,開発用データ,29,花札で、9月の札に描かれている盃に書かれている漢字1文字は何？,寿,,花札で、9月の札に描かれている盃に書かれている漢字1文字は何?,['寿']
AIO04-0030,第4回AI王,2023/09/01,開発用データ,30,大相撲で、1日の取組がすべて終わった後に行われる儀式を何という？,弓取式,,大相撲で、1日の取組がすべて終わった後に行われる儀式を何という?,['弓取式']
AIO04-0031,第4回AI王,2023/09/01,開発用データ,31,1月11日に亡くなったことから命日を「一一一忌」という、代表作『女の一生』で知られる作家は誰？,山本有三,,1月11日に亡くなったことから命日を「一一一忌」という、代表作『女の一生』で知られる作家は誰?,['山本有三']
AIO04-0032,第4回AI王,2023/09/01,開発用データ,32,宇宙にどれほどの地球外生命体が分布しているのかを推定する方程式を、考案者の名から何という？,ドレークの方程式,"ドレイクの方程式, ドレーク方程式, ドレイク方程式",宇宙にどれほどの地球外生命体が分布しているのかを推定する方程式を、考案者の名から何という?,"['ドレークの方程式', 'ドレイクの方程式', 'ドレーク方程式', 'ドレイク方程式']"
AIO04-0033,第4回AI王,2023/09/01,開発用データ,33,オリンピックで「入賞」とは何位までを指す？,8位,8,オリンピックで「入賞」とは何位までを指す?,"['8位', '8']"
AIO04-0034,第4回AI王,2023/09/01,開発用データ,34,映画やドラマなどで、メインタイトルの前に流されるプロローグシーンのことを、「前に」という意味のフランス語から何という？,アバンタイトル,アバン,映画やドラマなどで、メインタイトルの前に流されるプロローグシーンのことを、「前に」という意味のフランス語から何という?,"['アバンタイトル', 'アバン']"
AIO04-0035,第4回AI王,2023/09/01,開発用データ,35,1964年4月26日、タンガニーカとザンジバルが合併して誕生した、首都をドドマにおく国はどこ？,タンザニア,タンザニア連合共和国,1964年4月26日、タンガニーカとザンジバルが合併して誕生した、首都をドドマにおく国はどこ?,"['タンザニア', 'タンザニア連合共和国']"
AIO04-0036,第4回AI王,2023/09/01,開発用データ,36,寄生虫が、成体になる前に一時的に寄生する生物のことを、漢字4文字で何という？,中間宿主,,寄生虫が、成体になる前に一時的に寄生する生物のことを、漢字4文字で何という?,['中間宿主']
AIO04-0037,第4回AI王,2023/09/01,開発用データ,37,ローマの貧しい家に生まれた少年・アントニオを主人公とする、森鴎外の翻訳版でも有名なアンデルセンの小説は何？,即興詩人,,ローマの貧しい家に生まれた少年・アントニオを主人公とする、森鴎外の翻訳版でも有名なアンデルセンの小説は何?,['即興詩人']
AIO04-0038,第4回AI王,2023/09/01,開発用データ,38,イソップ童話『アリの恩返し』で、川でおぼれていたアリに葉っぱを落として助けた鳥は何？,ハト,"はと, 鳩",イソップ童話『アリの恩返し』で、川でおぼれていたアリに葉っぱを落として助けた鳥は何?,"['ハト', 'はと', '鳩']"
AIO04-0039,第4回AI王,2023/09/01,開発用データ,39,民俗学者の柳田國男が、全国のカタツムリの呼び名を調べることで、方言周圏論を唱えた著書のタイトルは何？,蝸牛考,,民俗学者の柳田國男が、全国のカタツムリの呼び名を調べることで、方言周圏論を唱えた著書のタイトルは何?,['蝸牛考']
AIO04-0040,第4回AI王,2023/09/01,開発用データ,40,佐々木道誉や土岐頼遠などのような、伝統や権威に逆らって傍若無人にふるまった室町時代の大名を何という？,ばさら大名,"婆娑羅大名, ばさら, 婆娑羅",佐々木道誉や土岐頼遠などのような、伝統や権威に逆らって傍若無人にふるまった室町時代の大名を何という?,"['ばさら大名', '婆娑羅大名', 'ばさら', '婆娑羅']"
AIO04-0041,第4回AI王,2023/09/01,開発用データ,41,三瓶温泉、温泉津温泉、玉造温泉などの温泉地がある都道府県はどこ？,島根県,島根,三瓶温泉、温泉津温泉、玉造温泉などの温泉地がある都道府県はどこ?,"['島根県', '島根']"
AIO04-0042,第4回AI王,2023/09/01,開発用データ,42,黒澤明監督の映画の題材にもなっている、戦国武将が敵を欺くために自身と同じ格好をさせた人物を何という？,影武者,,黒澤明監督の映画の題材にもなっている、戦国武将が敵を欺くために自身と同じ格好をさせた人物を何という?,['影武者']
AIO04-0043,第4回AI王,2023/09/01,開発用データ,43,蜃気楼の一種であることが解明されている、九州の八代海沿岸でみられる灯火のような現象を何という？,しらぬい,不知火,蜃気楼の一種であることが解明されている、九州の八代海沿岸でみられる灯火のような現象を何という?,"['しらぬい', '不知火']"
AIO04-0044,第4回AI王,2023/09/01,開発用データ,44,『恋とはどんなものかしら』などのアリアが有名な、ボーマルシェの戯曲を原作とするモーツァルト作曲のオペラは何？,フィガロの結婚,,『恋とはどんなものかしら』などのアリアが有名な、ボーマルシェの戯曲を原作とするモーツァルト作曲のオペラは何?,['フィガロの結婚']
AIO04-0045,第4回AI王,2023/09/01,開発用データ,45,多くの島が点在することから「多島海」とも呼ばれる、ギリシャとトルコの間にある海域は何？,エーゲ海,,多くの島が点在することから「多島海」とも呼ばれる、ギリシャとトルコの間にある海域は何?,['エーゲ海']
AIO04-0046,第4回AI王,2023/09/01,開発用データ,46,日常の雑感や見聞などを書きつづった全244段からなる、吉田兼好の随筆は何？,徒然草,,日常の雑感や見聞などを書きつづった全244段からなる、吉田兼好の随筆は何?,['徒然草']
AIO04-0047,第4回AI王,2023/09/01,開発用データ,47,チョコレートづくりで、風味を高めるために、チョコレートを温めたり冷ましたりして一定の温度に調節することを何という？,テンパリング,,チョコレートづくりで、風味を高めるために、チョコレートを温めたり冷ましたりして一定の温度に調節することを何という?,['テンパリング']
AIO04-0048,第4回AI王,2023/09/01,開発用データ,48,毒グモのタランチュラの語源となったタラントという港町がある国はどこ？,イタリア,イタリア共和国,毒グモのタランチュラの語源となったタラントという港町がある国はどこ?,"['イタリア', 'イタリア共和国']"
AIO04-0049,第4回AI王,2023/09/01,開発用データ,49,3月3日のひな祭りで、一生一人の人と添い遂げるようにという願いをこめて、すまし汁にして食べられる貝は何？,ハマグリ,"はまぐり, 蛤",3月3日のひな祭りで、一生一人の人と添い遂げるようにという願いをこめて、すまし汁にして食べられる貝は何?,"['ハマグリ', 'はまぐり', '蛤']"
AIO04-0050,第4回AI王,2023/09/01,開発用データ,50,フランス語で「10分の1」という意味からつけられた、アメリカの10セントコインの愛称は何？,ダイム,,フランス語で「10分の1」という意味からつけられた、アメリカの10セントコインの愛称は何?,['ダイム']
AIO04-0051,第4回AI王,2023/09/01,開発用データ,51,1906年、偏平足を矯正する靴メーカーとしてアメリカ・ボストンに創業したスポーツシューズメーカーは何？,ニューバランス,New Balance,1906年、偏平足を矯正する靴メーカーとしてアメリカ・ボストンに創業したスポーツシューズメーカーは何?,"['ニューバランス', 'New Balance']"
AIO04-0052,第4回AI王,2023/09/01,開発用データ,52,英語で「三角巾」という意味がある、たすき掛けにして使う、ハンモック状のだっこ紐を何という？,スリング,ベビースリング,英語で「三角巾」という意味がある、たすき掛けにして使う、ハンモック状のだっこ紐を何という?,"['スリング', 'ベビースリング']"
AIO04-0053,第4回AI王,2023/09/01,開発用データ,53,歯をもたない鳥類が、摂取した食べ物をすり潰すために砂や小石を蓄えておく、腸の前にある消化器官を何という？,砂嚢,"砂肝, 砂袋",歯をもたない鳥類が、摂取した食べ物をすり潰すために砂や小石を蓄えておく、腸の前にある消化器官を何という?,"['砂嚢', '砂肝', '砂袋']"
AIO04-0054,第4回AI王,2023/09/01,開発用データ,54,大麦の品種で、主に麦飯に用いるのは六条大麦ですが、ビールの原材料として用いるのは何？,二条大麦,,大麦の品種で、主に麦飯に用いるのは六条大麦ですが、ビールの原材料として用いるのは何?,['二条大麦']
AIO04-0055,第4回AI王,2023/09/01,開発用データ,55,中国で2世紀ごろに道教の一派である太平道を創始し、西暦184年の黄巾の乱を指導するも、戦いの最中に病死した人物は誰？,張角,,中国で2世紀ごろに道教の一派である太平道を創始し、西暦184年の黄巾の乱を指導するも、戦いの最中に病死した人物は誰?,['張角']
AIO04-0056,第4回AI王,2023/09/01,開発用データ,56,ゴッホやピカソが愛用したことでも知られる、黒い表紙とゴムバンドが特徴的な、イタリアの手帳ブランドは何？,モレスキン,Moleskine,ゴッホやピカソが愛用したことでも知られる、黒い表紙とゴムバンドが特徴的な、イタリアの手帳ブランドは何?,"['モレスキン', 'Moleskine']"
AIO04-0057,第4回AI王,2023/09/01,開発用データ,57,中国の唐で「貞観の治」とよばれる政治を行ったのは太宗ですが、日本の平安時代に「貞観の治」と呼ばれる政治を行った第56代天皇は誰？,清和天皇,,中国の唐で「貞観の治」とよばれる政治を行ったのは太宗ですが、日本の平安時代に「貞観の治」と呼ばれる政治を行った第56代天皇は誰?,['清和天皇']
AIO04-0058,第4回AI王,2023/09/01,開発用データ,58,1837年から1847年にかけて、蘭学者・宇田川榕菴が著した、日本初の体系的な化学書とされる著書は何？,舎密開宗,,1837年から1847年にかけて、蘭学者・宇田川榕菴が著した、日本初の体系的な化学書とされる著書は何?,['舎密開宗']
AIO04-0059,第4回AI王,2023/09/01,開発用データ,59,戦国武将の本多忠勝が愛用したとされる、「御手杵」「日本号」と並び「天下三名槍」に数えられる槍は何？,蜻蛉切,,戦国武将の本多忠勝が愛用したとされる、「御手杵」「日本号」と並び「天下三名槍」に数えられる槍は何?,['蜻蛉切']
AIO04-0060,第4回AI王,2023/09/01,開発用データ,60,1994年に第1回が行われた、毎年2月～3月にポルトガルで開催される、ナショナルチームによる女子サッカーの国際大会は何？,アルガルベカップ,アルガルヴェ・カップ,1994年に第1回が行われた、毎年2月〜3月にポルトガルで開催される、ナショナルチームによる女子サッカーの国際大会は何?,"['アルガルベカップ', 'アルガルヴェ・カップ']"
AIO04-0061,第4回AI王,2023/09/01,開発用データ,61,アメリカでは味がカモに似ているため「グースフィッシュ」とも呼ばれる、「吊し切り」という方法でさばかれる魚は何？,アンコウ,"あんこう, 鮟鱇",アメリカでは味がカモに似ているため「グースフィッシュ」とも呼ばれる、「吊し切り」という方法でさばかれる魚は何?,"['アンコウ', 'あんこう', '鮟鱇']"
AIO04-0062,第4回AI王,2023/09/01,開発用データ,62,かつて駄菓子屋や縁日で売られていた、子ども向けのおもちゃの鉄砲を、玉の色から俗に何といった？,銀玉鉄砲,,かつて駄菓子屋や縁日で売られていた、子ども向けのおもちゃの鉄砲を、玉の色から俗に何といった?,['銀玉鉄砲']
AIO04-0063,第4回AI王,2023/09/01,開発用データ,63,ヘミングウェイの小説『老人と海』で、主人公のサンチャゴが憧れているメジャーリーガーは誰？,ジョー・ディマジオ,"ディマジオ, ジョセフ・ポール・ディマジオ",ヘミングウェイの小説『老人と海』で、主人公のサンチャゴが憧れているメジャーリーガーは誰?,"['ジョー・ディマジオ', 'ディマジオ', 'ジョセフ・ポール・ディマジオ']"
AIO04-0064,第4回AI王,2023/09/01,開発用データ,64,毎朝、豆を60粒数えてコーヒーを淹れていたという逸話が残る、ドイツの作曲家は誰？,ルートヴィヒ・ヴァン・ベートーヴェン,"ベートーヴェン, ベートーベン",毎朝、豆を60粒数えてコーヒーを淹れていたという逸話が残る、ドイツの作曲家は誰?,"['ルートヴィヒ・ヴァン・ベートーヴェン', 'ベートーヴェン', 'ベートーベン']"
AIO04-0065,第4回AI王,2023/09/01,開発用データ,65,積極的に発言しないものの大多数を占める勢力のことを、「静かな多数派」という意味の英語で何という？,サイレントマジョリティー,サイレントマジョリティ,積極的に発言しないものの大多数を占める勢力のことを、「静かな多数派」という意味の英語で何という?,"['サイレントマジョリティー', 'サイレントマジョリティ']"
AIO04-0066,第4回AI王,2023/09/01,開発用データ,66,顔料のウルトラマリンのことを、絵画『青いターバンの少女』などで多用したオランダの画家の名前から何という？,フェルメール・ブルー,,顔料のウルトラマリンのことを、絵画『青いターバンの少女』などで多用したオランダの画家の名前から何という?,['フェルメール・ブルー']
AIO04-0067,第4回AI王,2023/09/01,開発用データ,67,富山市を流れるいたち川を題材とした、作家・宮本輝の芥川賞受賞作は何？,螢川,,富山市を流れるいたち川を題材とした、作家・宮本輝の芥川賞受賞作は何?,['螢川']
AIO04-0068,第4回AI王,2023/09/01,開発用データ,68,かつてベトナムを南北に分けていた軍事境界線のことを、そこを通る緯線から何という？,17度線,北緯17度線,かつてベトナムを南北に分けていた軍事境界線のことを、そこを通る緯線から何という?,"['17度線', '北緯17度線']"
AIO04-0069,第4回AI王,2023/09/01,開発用データ,69,アメリカ・大リーグで、日本人として初めて盗塁を記録した選手は誰？,吉井理人,,アメリカ・大リーグで、日本人として初めて盗塁を記録した選手は誰?,['吉井理人']
AIO04-0070,第4回AI王,2023/09/01,開発用データ,70,『ジャックとジル』や『ハンプティ・ダンプティ』などが含まれるイギリスの伝承童謡といえば何？,マザー・グース,,『ジャックとジル』や『ハンプティ・ダンプティ』などが含まれるイギリスの伝承童謡といえば何?,['マザー・グース']
AIO04-0071,第4回AI王,2023/09/01,開発用データ,71,1960年ごろ、メジャーリーグのヤンキースで「MM砲」といわれた選手は、ミッキー・マントルと誰？,ロジャー・マリス,"マリス, ロジャー・ユージーン・マリス",1960年ごろ、メジャーリーグのヤンキースで「MM砲」といわれた選手は、ミッキー・マントルと誰?,"['ロジャー・マリス', 'マリス', 'ロジャー・ユージーン・マリス']"
AIO04-0072,第4回AI王,2023/09/01,開発用データ,72,1960年代の学生闘争を描いた映画『いちご白書』は、アメリカの何という大学をモデルにした作品？,コロンビア大学,,1960年代の学生闘争を描いた映画『いちご白書』は、アメリカの何という大学をモデルにした作品?,['コロンビア大学']
AIO04-0073,第4回AI王,2023/09/01,開発用データ,73,フランスのラスコー洞窟やスペインのアルタミラ洞窟に壁画を残した、旧石器時代の化石人類は何？,クロマニョン人,クロマニヨン人,フランスのラスコー洞窟やスペインのアルタミラ洞窟に壁画を残した、旧石器時代の化石人類は何?,"['クロマニョン人', 'クロマニヨン人']"
AIO04-0074,第4回AI王,2023/09/01,開発用データ,74,漫画『ドカベン』の山田太郎、『クレヨンしんちゃん』の野原しんのすけ、『ONE PIECE』のルフィの誕生日はいずれも何月何日？,5月5日,,漫画『ドカベン』の山田太郎、『クレヨンしんちゃん』の野原しんのすけ、『ONE PIECE』のルフィの誕生日はいずれも何月何日?,['5月5日']
AIO04-0075,第4回AI王,2023/09/01,開発用データ,75,「座高が高く、やせ細っていて顔は青白く、鼻は大きく垂れ下がって鼻先は赤い」という容貌が特徴の、古典『源氏物語』に登場する女性は誰？,末摘花,,「座高が高く、やせ細っていて顔は青白く、鼻は大きく垂れ下がって鼻先は赤い」という容貌が特徴の、古典『源氏物語』に登場する女性は誰?,['末摘花']
AIO04-0076,第4回AI王,2023/09/01,開発用データ,76,皆既日食が起こった際に太陽の周りに見られる、淡く輝く層のことを何という？,コロナ,,皆既日食が起こった際に太陽の周りに見られる、淡く輝く層のことを何という?,['コロナ']
AIO04-0077,第4回AI王,2023/09/01,開発用データ,77,映画のタイトルで、「パリの」「ニューヨークの」「ノッティングヒルの」に共通して続く言葉は何？,恋人,,映画のタイトルで、「パリの」「ニューヨークの」「ノッティングヒルの」に共通して続く言葉は何?,['恋人']
AIO04-0078,第4回AI王,2023/09/01,開発用データ,78,袋ぜりとよばれる独特のセリで知られる、フグの卸を専門におこなう山口県下関市の市場はどこ？,南風泊市場,,袋ぜりとよばれる独特のセリで知られる、フグの卸を専門におこなう山口県下関市の市場はどこ?,['南風泊市場']
AIO04-0079,第4回AI王,2023/09/01,開発用データ,79,初代オーナーの大社義規にちなむ、プロ野球・北海道日本ハムファイターズの永久欠番は何番？,100番,100,初代オーナーの大社義規にちなむ、プロ野球・北海道日本ハムファイターズの永久欠番は何番?,"['100番', '100']"
AIO04-0080,第4回AI王,2023/09/01,開発用データ,80,囲碁に由来する、当事者よりも第三者のほうが物事がよく見えるという意味の四字熟語は何？,傍目八目,岡目八目,囲碁に由来する、当事者よりも第三者のほうが物事がよく見えるという意味の四字熟語は何?,"['傍目八目', '岡目八目']"
AIO04-0081,第4回AI王,2023/09/01,開発用データ,81,地下茎や根が枯れずに残り、毎年生えてくる植物を、「一年草」や「二年草」に対して何という？,多年草,,地下茎や根が枯れずに残り、毎年生えてくる植物を、「一年草」や「二年草」に対して何という?,['多年草']
AIO04-0082,第4回AI王,2023/09/01,開発用データ,82,インスリンを分泌する内分泌腺組織「ランゲルハンス島」がある臓器はどこ？,膵臓,すい臓,インスリンを分泌する内分泌腺組織「ランゲルハンス島」がある臓器はどこ?,"['膵臓', 'すい臓']"
AIO04-0083,第4回AI王,2023/09/01,開発用データ,83,ボクシングで、相手のパンチによってではなく、自ら足を滑らせたりして倒れるダウンを何という？,スリップダウン,スリップ,ボクシングで、相手のパンチによってではなく、自ら足を滑らせたりして倒れるダウンを何という?,"['スリップダウン', 'スリップ']"
AIO04-0084,第4回AI王,2023/09/01,開発用データ,84,産出地の栃木県の地名が付いた、園芸によく用いられる、保水性と通気性に優れた土は何？,鹿沼土,,産出地の栃木県の地名が付いた、園芸によく用いられる、保水性と通気性に優れた土は何?,['鹿沼土']
